M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
13.75,7.57,0,1.26,0.36,0.36,0,0,0.72,0,11.63,225,225,0,157,157,0,150,214.2,35.8
14.565,32.11,0,0.73,6.44,0.19,0,0,2.22,0,7.85,204.17,210,0,603,101,0,150,260.8,34.65
22.44,10.71,0,0.51,0.48,0.09,0,0,0.42,0,15.75,304.17,203.33,0,157,101,0,150,224.2,24.65
13.575,9.75,0,0.82,0.6,0.24,0,0,0.75,0,10.91,283.33,275,0,157,101,0,150,219.2,29.65
10.325,7.92,0,0.41,0.75,0.09,0,0,0.53,0,14.64,298.25,656.83,0,157,25,0,100,169.2,25
12.9375,9.76,0,0.49,1.19,0.07,0,0,0.59,0,26.45,351.08,195,0,226,101,0,100,123.05,24.65
9.25,15.47,0,0.97,1.29,0.22,0,0,1.06,0,13.4,318.08,293.42,0,226,101,0,150,215.24,32.65
16.32,30.34,0,0.94,3.29,0.15,0,0,1.38,0,20.1,304.92,293.42,0,462,101,0,150,215.38,31.65
18.27,49.83,0,0.82,6.7,0.11,0,0,1.71,0,26.8,305.42,293.42,0,760,101,0,150,214.69,27.65
29.7,19.4,0,2.03,1.15,0.64,0,0,1.71,0,22.83,288.33,420.83,0,308,157,0,150,218.44,30.8
31.572,20.87,0,0.68,0.6,0.04,0,0,0.3,0,26.24,351.08,195,0,226,101,0,200,263.05,34.65
36.054,20.87,0,0.68,0.6,0.04,0,0,0.3,0,26.24,351.08,195,0,226,101,0,200,263.05,34.65
6.16,3.51,0,0.19,0.21,0.04,0,0,0.18,0,33.42,330,250,0,101,57,0,80,105.35,13.5
16.396875,8.25,0,1.24,0.33,0.4,0,0,0.73,0,33.42,330,250,0,157,226,0,120,159.2,21.95
9.324,7.03,0,0.31,0.8,0.06,0,0,0.43,0,13.81,300,320,0,157,39,0,100,149.2,25
9.6,8.09,0,0.48,0.76,0.06,0,0,0.44,0,13.25,313.88,250,0,157,57,0,120,164.2,33.5
22.275,12.53,0,0.99,0.97,0.19,0,0,0.87,0,19.14,330,330,0,226,101,0,150,168.05,29.65
19.4025,19,0,1.68,1.23,0.52,0,0,1.59,0,14.17,319.58,298.83,0,226,157,0,150,263.05,35.8
25.61,31.47,0,1.68,3.43,0.52,0,0,2.66,0,14.17,300.17,298.83,0,402,157,0,150,260.8,35.8
16.8725,9.95,0,0.68,0.31,0.05,0,0,0.26,0,23.55,295.83,195,0,157,101,0,150,214.2,34.65
12.5,16.08,0,1.56,1.78,0.76,0,0,2.33,0,8.28,215.83,276.67,0,308,157,0,150,241.9,35.8
50,45.84,0,1.56,14.85,0.76,0,0,6.72,0,8.28,305.83,276.67,0,628,157,0,150,238.65,35.8
12.4925,11.49,0,0.39,0.79,0.11,0,0,0.58,0,12.11,341.67,195,0,157,101,0,150,214.2,19.65
